Location,Industry,Edition,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Year_text,Year_date,Volume
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2008,31/12/2008,"244,00359330"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2009,31/12/2009,"256,65429510"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2010,31/12/2010,"307,36160170"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2011,31/12/2011,"356,13411940"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2012,31/12/2012,"405,12040220"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2013,31/12/2013,"461,92889360"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2014,31/12/2014,"512,98965820"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2015,31/12/2015,"557,78713740"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2016,31/12/2016,"607,21074190"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2017,31/12/2017,"554,41962700"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2018,31/12/2018,"523,99518990"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2019,31/12/2019,"498,02068180"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2020,31/12/2020,"481,33487640"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2021,31/12/2021,"530,44455050"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2007,31/12/2007,"1,47515525"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2008,31/12/2008,"3,01691093"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2009,31/12/2009,"4,42513256"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2010,31/12/2010,"5,40743818"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2011,31/12/2011,"6,86054979"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2012,31/12/2012,"8,49850285"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2013,31/12/2013,"8,07160844"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2014,31/12/2014,"9,34529509"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2015,31/12/2015,"9,72713920"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2016,31/12/2016,"10,09578720"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2017,31/12/2017,"9,98268579"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2018,31/12/2018,"9,90812923"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2019,31/12/2019,"10,02339217"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2020,31/12/2020,"10,68034486"
3,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2021,31/12/2021,"11,26827073"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2007,31/12/2007,"336,94157480"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2008,31/12/2008,"356,36515580"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2009,31/12/2009,"379,64908500"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2010,31/12/2010,"402,33149370"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2011,31/12/2011,"415,31648470"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2012,31/12/2012,"454,21616020"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2013,31/12/2013,"465,07542580"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2014,31/12/2014,"503,02465740"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2015,31/12/2015,"505,66290590"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2016,31/12/2016,"518,63941830"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2017,31/12/2017,"544,56672660"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2018,31/12/2018,"607,03259610"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2019,31/12/2019,"663,33112060"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2020,31/12/2020,"676,76644850"
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2021,31/12/2021,"692,87488800"
